"scheme_name","source_sheet","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading","latest_reading_date","history_points"
"Genesis","Genesis","GEN 61","GEN 61","UNIT","GEN_61","","1,713669219","78877","02/03/2026","60"
"Genesis","Genesis","GEN 62","GEN 62","UNIT","GEN_62","","1,713669219","106275,2","02/03/2026","60"
"Genesis","Genesis","GEN 63","GEN 63","UNIT","GEN_63","","2,159918618","108103,8","02/03/2026","60"
"Genesis","Genesis","Bulk 1",,"BULK","Bulk_1","",,"68575","2021/05/31","3"
"Genesis","Genesis","Com 1",,"COMMON","Com_1","",,"65836","02/03/2026","52"
"Genesis","Genesis","Com 2",,"COMMON","Com_2","",,"140339","02/03/2026","53"
"Genesis","Genesis","Com 3",,"COMMON","Com_3","",,"6315","02/03/2026","52"
"Genesis","Genesis","Com 4",,"COMMON","Com_4","",,"85","02/03/2026","53"
"Genesis","Genesis","Com 5",,"COMMON","Com_5","",,,,"0"
"Genesis","Genesis","Com 6",,"COMMON","Com_6","",,,,"0"
"Genesis","Genesis","Com 7",,"COMMON","Com_7","",,"7","#########","1"
"Genesis","Genesis","Com 8",,"COMMON","Com_8","",,"194","#########","1"
"Genesis","Genesis","Com 9",,"COMMON","Com_9","",,,,"0"
"Genesis","Genesis","Com 10",,"COMMON","Com_10","",,,,"0"
"Genesis","Genesis","Com 11",,"COMMON","Com_11","",,,,"0"
"Carissa Lane","Carissa Lane","CL 01","CL 01","UNIT","CL_01","","2,772","10094","2026/03/05","99"
"Carissa Lane","Carissa Lane","CL 02","CL 02","UNIT","CL_02","","3,7556","38843","2026/03/05","99"
"Carissa Lane","Carissa Lane","CL 03","CL 03","UNIT","CL_03","","4,8285","53507","2026/03/05","99"
"Carissa Lane","Carissa Lane","CL 04","CL 04","UNIT","CL_04","","2,8017","19024","2026/03/05","99"
"Carissa Lane","Carissa Lane","CL 05A","CL 05A","UNIT","CL_05A","","2,7422","99940","2026/03/05","99"
"Carissa Lane","Carissa Lane","CL 06A","CL 06A","UNIT","CL_06A","","3,7854","33073","2026/03/05","99"
"Carissa Lane","Carissa Lane","CL 07","CL 07","UNIT","CL_07","","3,7556","24904","2026/03/05","99"
